19	24	4		
78	3	12		
43	6	10		
45	29	15		
26	8	6		
12	34	15		
43	49	7		
31	29	2		
1	21	6		
3	8	4		
17	39	6		
29	6	15		
48	22	2		
11	9	5		
77	19	4		
2	24	10		
36	26	8		
29	44	14		
48	19	12		
12	45	14		
48	45	9		
40	31	1		
15	46	11		
46	25	5		
62	63	1		
78	80	7		
44	24	13		
82	8	4		
6	17	3	7	
12	8	15		
16	23	8		
11	44	3		
40	4	11		
10	27	1		
15	82	4		
15	34	15		
7	54	13		
7	48	9		
28	19	4		
63	64	10		
20	1	9		
21	54	7		
30	31	5		
20	29	5		
60	59	10		
81	80	5		
43	18	11		
71	24	3		
12	41	9		
64	66	1		
25	32	12		
2	5	9		
36	12	10		
4	15	6		
15	30	10		
7	3	5	6	
49	44	3		
48	34	8		
69	34	11	12	
10	17	12		
55	78	5		
39	13	9		
12	48	2		
25	35	8		
82	44	12	14	15
30	30	8		
12	62	2		
31	17	9		
60	54	7		
34	17	15		
58	32	10		
65	82	7		
16	44	14		
45	27	10		
37	13	7		
50	24	6		
52	78	3		
0	2	15		
2	0	15		
82	45	4		
8	27	9		
8	48	2		
22	15	11		
26	32	5		
8	4	13		
21	20	1		
11	45	6	12	
13	3	15		
82	7	3		
46	42	10		
21	43	13		
18	48	8		
48	18	9		
18	48	9		
35	21	15		
40	8	4		
40	37	2	4	
74	70	10		
56	57	13		
33	7	11		
0	32	3	6	9
3	32	1		
67	7	7	14	
2	40	14		
7	21	13		
21	54	11		
7	21	11		
40	37	2		
0	2	2		
2	0	2		
0	21	1		
0	21	1		
9	41	7		
42	50	11		
16	17	11		
20	7	15		
50	22	5		
26	39	4		
47	9	2		
24	31	4		
66	23	15		
68	2	12		
21	0	1		
21	7	1		
48	18	9		
11	47	9		
42	1	12		
29	1	8		
42	31	3		
54	67	13		
2	9	12		
4	24	14		
14	43	4		
3	4	11	6	7
32	19	6	14	
2	38	10		
31	30	6		
17	1	12		
11	42	11		
26	3	12	8	
70	13	9		
49	10	13	7	
23	47	5		
38	31	12		
18	66	2		
27	36	14		
43	38	11		
81	67	7	13	
13	48	1		
22	36	15		
32	12	1	3	
18	17	13		
19	48	11		
6	31	6		
17	9	1		
24	11	9	10	
50	10	8		
3	12	9		
15	37	10		
20	2	13		
35	47	5		
15	5	5		
2	37	2		
26	20	10		
30	10	4		
34	26	10		
11	36	9		
18	21	11		
41	7	15		
10	11	11		
45	21	3		
48	68	10		
49	67	13		
20	15	15		
10	69	4	6	
40	37	2		
38	22	4	8	
14	34	10		
43	7	7		
0	2	9		
13	9	9		
19	18	15		
45	31	13		
32	15	1	4	
67	34	2	9	
45	32	5		
1	34	9	10	
29	24	2		
27	43	9		
28	22	12		
43	27	6		
27	14	11		
29	28	13		
39	42	15		
33	43	8		
8	16	1	6	7
76	77	8		
13	32	11		
24	48	1		
33	5	2		
2	30	2		
38	19	8		
44	4	3		
75	76	3	14	
44	19	2		
40	37	2		
50	13	7		
23	48	13		
34	15	10		
18	54	8		
49	14	10		
70	71	10	12	
74	71	8		
14	25	1	6	15
10	45	4	6	
52	55	9		
65	75	11		
4	38	14		
39	34	11		
47	13	11		
21	67	3	7	
43	44	8		
24	37	12		
19	4	5		
41	3	4		
5	41	8		
34	49	9		
3	10	7		
38	2	2		
15	1	4		
32	2	13		
25	24	5		
24	42	9		
47	41	7		
24	42	9		
27	20	7		
3	17	4		
24	4	4		
22	28	6	7	14
81	67	7		
22	19	7		
60	3	6		
14	41	6		
46	49	14		
32	3	3	15	
43	54	7		
36	1	5	14	
67	54	13		
34	3	10		
1	31	4		
27	8	6		
26	22	1	15	
6	15	6		
30	15	8	10	
10	6	7		
21	2	13		
65	77	2	6	
8	5	9	8	
71	56	1		
46	34	7		
67	2	2	9	
1	44	9		
71	72	14		
72	5	11	12	
25	1	1		
67	7	7	9	
11	22	5		
6	48	8		
73	7	15		
9	50	12		
46	7	9		
43	49	4		
69	32	6		
32	4	14		
17	12	15		
14	44	1		
41	8	4		
17	14	5		
7	30	11		
7	36	13		
61	62	12		
16	30	13		
36	20	15		
9	33	13		
8	44	3		
15	14	4		
20	17	10		
16	18	14		
17	15	1		
32	5	10		
32	6	9		
1	18	9		
41	22	1		
43	45	1		
14	4	14		
37	24	3	6	8
22	32	3		
27	47	14		
50	44	6		
40	32	6		
80	4	4		
3	6	8		
65	43	8		
16	6	11		
26	9	8		
43	37	11		
41	30	5		
19	29	13		
38	17	7		
79	25	10		
13	44	13		
35	4	4		
11	53	14		
34	5	7		
41	32	3		
23	28	6		
55	11	1		
28	34	5		
18	21	11		
20	28	11		
3	3	11		
12	17	9	10	
82	50	1		
67	81	11		
13	35	2		
32	17	7	14	
44	39	14		
3	34	1		
54	69	1		
3	7	2	6	14
12	26	15		
20	35	8		
40	3	13		
47	38	9		
50	37	9		
2	48	14		
7	47	3		
38	40	4		
44	5	9		
22	41	7		
29	2	13		
32	39	15		
29	27	6		
29	42	12		
65	3	8		
24	62	2		
67	21	7	11	13
7	50	7		
1	6	5		
10	41	4		
28	21	7		
32	40	4		
6	15	6		
49	20	10		
31	38	11	14	
25	43	9		
47	15	7		
47	4	11		
68	34	3	12	
31	18	2		
24	46	8		
43	35	3		
0	40	6		
16	35	11		
34	46	14		
31	47	1		
24	13	6		
26	2	9		
15	35	2		
79	80	11		
46	14	5		
18	20	9		
67	18	13		
24	25	12		
51	10	7		
52	53	15		
30	43	14	14	
35	19	2		
5	24	14		
30	27	12		
32	20	6		
47	50	5		
35	48	5	6	7
18	49	14		
48	29	4		
81	67	7		
37	36	13		
15	12	7		
18	10	4		
26	34	9		
39	14	5		
44	11	10		
77	19	4		
8	10	6		
9	14	2		
42	23	15		
54	21	7	11	13
68	0	1		
0	2	14		
67	49	2	7	
